Parameter,Value,Norm_Score%,Norm_Std,Time(s),Gens_Avg,Rows,Norm_C101,Norm_C201,Norm_R101,Norm_R201,Norm_RC101,Norm_RC201
mutation_rate,0.3,93.67,5.37,5.33,54.53,30,97.5,94.25,92.93,84.24,100.0,93.08
mutation_rate,0.5,93.34,4.94,5.957,55.9,30,97.5,91.26,92.32,85.8,100.0,93.13
mutation_rate,0.7,93.83,4.91,6.552,59.03,30,98.12,93.33,92.42,85.9,100.0,93.21
mutation_rate,0.9,93.17,6.66,6.908,60.3,30,97.5,95.86,92.53,80.05,100.0,93.08
population_size,100,93.83,4.91,6.419,59.03,30,98.12,93.33,92.42,85.9,100.0,93.21
population_size,150,95.62,4.29,10.855,63.73,30,99.38,96.32,96.06,88.38,100.0,93.56
population_size,200,95.01,4.91,14.64,61.47,30,98.75,96.32,95.76,86.57,100.0,92.68
population_size,50,91.84,7.39,3.033,56.8,30,96.88,93.56,90.91,78.24,100.0,91.47
stagnation_limit,15,93.15,5.71,4.761,40.57,30,97.5,93.1,92.42,83.44,100.0,92.43
stagnation_limit,25,93.83,4.91,6.972,59.03,30,98.12,93.33,92.42,85.9,100.0,93.21
stagnation_limit,40,94.36,4.67,8.965,82.3,30,98.75,93.56,93.54,87.1,100.0,93.21
stagnation_limit,60,94.49,4.6,11.071,105.93,30,98.75,93.79,93.54,87.1,100.0,93.76
tournament_k,2,93.28,6.02,7.009,65.4,30,98.12,93.79,92.93,82.51,100.0,92.3
tournament_k,3,93.83,4.91,6.602,59.03,30,98.12,93.33,92.42,85.9,100.0,93.21
tournament_k,5,92.61,6.97,5.64,52.9,30,98.12,91.72,92.53,80.48,100.0,92.83
tournament_k,7,92.7,6.05,6.053,54.03,30,98.75,89.89,92.32,82.86,100.0,92.35
