Param,Value,Norm_Score%,Norm_Std,Time(s),Gens,Norm_C101,Norm_C201,Norm_R101,Norm_R201,Norm_RC101,Norm_RC201
population_size,50.0,99.87,0.24,16.714,40.3,100.0,100.0,100.0,99.55,100.0,99.7
population_size,100.0,99.93,0.16,29.137,36.5,100.0,100.0,100.0,99.6,100.0,100.0
population_size,150.0,99.93,0.17,47.84,38.8,100.0,100.0,100.0,99.57,100.0,100.0
population_size,200.0,99.94,0.16,56.064,38.6,100.0,100.0,100.0,99.65,100.0,100.0
mutation_rate,0.3,99.93,0.17,42.281,38.8,100.0,100.0,100.0,99.57,100.0,100.0
mutation_rate,0.5,99.96,0.13,47.656,40.4,100.0,100.0,100.0,99.75,100.0,100.0
mutation_rate,0.7,99.93,0.16,46.761,40.0,100.0,100.0,100.0,99.6,100.0,100.0
mutation_rate,0.9,99.92,0.2,45.742,39.1,100.0,100.0,100.0,99.5,100.0,100.0
tournament_k,2.0,99.93,0.17,40.257,38.8,100.0,100.0,100.0,99.57,100.0,100.0
tournament_k,3.0,99.93,0.17,35.63,35.6,100.0,100.0,100.0,99.6,100.0,100.0
tournament_k,5.0,99.92,0.18,33.277,33.5,100.0,100.0,100.0,99.55,100.0,100.0
tournament_k,7.0,99.84,0.31,35.923,35.2,100.0,100.0,100.0,99.45,100.0,99.57
stagnation_limit,15.0,99.9,0.22,29.081,27.1,100.0,100.0,100.0,99.52,100.0,99.85
stagnation_limit,25.0,99.93,0.17,40.202,38.8,100.0,100.0,100.0,99.57,100.0,100.0
stagnation_limit,40.0,99.94,0.16,55.676,55.5,100.0,100.0,100.0,99.62,100.0,100.0
stagnation_limit,60.0,99.95,0.13,78.533,79.0,100.0,100.0,100.0,99.72,100.0,100.0
